id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,vocal_presence,brightness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,euphoric,0.12,0.93,0.82
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,54,2010,dreamy,0.88,0.22,0.38
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,79,2010,aggressive,0.18,0.88,0.74
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,46,2000,nostalgic,0.91,0.18,0.31
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,92,2020,aggressive,0.08,0.95,0.86
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,41,1980,dreamy,0.97,0.12,0.28
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,63,1990,warm,0.76,0.54,0.52
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,74,1980,nostalgic,0.42,0.69,0.44
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,57,2010,instrumental,0.94,0.16,0.33
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,86,2010,euphoric,0.18,0.91,0.79
11,City Pulse Arcade,Pixel Avenue,synthwave,happy,0.84,126,0.80,0.86,0.14,85,2020,euphoric,0.11,0.90,0.83
12,Rainy Window Notes,Mellow Draft,lofi,chill,0.38,76,0.58,0.57,0.82,52,2010,dreamy,0.90,0.20,0.34
13,Crimson Highway,Fuse Riot,rock,intense,0.92,154,0.46,0.69,0.09,81,2010,aggressive,0.16,0.89,0.72
14,Dawn in Kyoto,Soft Signal,ambient,relaxed,0.30,62,0.66,0.43,0.94,44,2000,warm,0.96,0.10,0.29
15,Weekend Sparks,Luna Frame,indie pop,happy,0.78,122,0.83,0.81,0.28,87,2020,euphoric,0.15,0.92,0.81
16,Velvet Side Street,Blue Lantern,jazz,moody,0.41,88,0.47,0.50,0.76,61,1990,nostalgic,0.73,0.57,0.46
17,Terminal Countdown,Iron Circuit,edm,intense,0.95,138,0.70,0.90,0.06,90,2020,aggressive,0.05,0.94,0.88
18,Paper Crane Lullaby,Nori & Co,acoustic,relaxed,0.33,74,0.72,0.49,0.93,58,2000,warm,0.84,0.48,0.51
19,Ocean Floor Static,Tidal Bloom,ambient,focused,0.27,58,0.61,0.39,0.95,39,1980,minimal,0.98,0.08,0.25
20,Late Train Fiction,Mono Club,lofi,nostalgic,0.44,84,0.55,0.61,0.79,56,2010,nostalgic,0.89,0.21,0.36
21,Neon Side Quest,Arcline,pop,happy,0.81,120,0.85,0.84,0.17,89,2020,bright,0.10,0.93,0.84
22,Candlelight Theory,Quiet Harbor,jazz,relaxed,0.36,92,0.69,0.53,0.88,60,1990,warm,0.71,0.55,0.50
23,Mountain Drive 2AM,Polar North,synthwave,moody,0.73,112,0.50,0.74,0.20,76,1980,nostalgic,0.41,0.68,0.45
24,Sketchbook Focus,Deskline,lofi,focused,0.39,82,0.57,0.59,0.81,59,2010,instrumental,0.93,0.17,0.35
25,Thunder Gym Anthem,Core Voltage,edm,intense,0.96,140,0.74,0.91,0.04,93,2020,aggressive,0.04,0.96,0.89
26,Golden Hour Loop,Solar Bloom,indie pop,happy,0.74,118,0.82,0.79,0.32,84,2010,warm,0.20,0.88,0.78
27,Old Bookstore Dust,Page Noise,acoustic,nostalgic,0.34,70,0.63,0.46,0.91,53,2000,nostalgic,0.86,0.43,0.42
28,Lunar Transit,Mist Relay,ambient,chill,0.29,64,0.60,0.42,0.93,42,1980,dreamy,0.97,0.11,0.27
29,Back Alley Echo,Glass Alley,rock,moody,0.68,108,0.45,0.64,0.18,72,2010,aggressive,0.25,0.82,0.57
30,Summer Parking Lot,Sunset Union,pop,happy,0.79,124,0.86,0.83,0.16,88,2020,euphoric,0.12,0.94,0.85
31,Low Tide Letters,Seabed Tape,lofi,sad,0.32,68,0.34,0.48,0.90,50,2010,dreamy,0.92,0.19,0.30
32,Concrete Sprint,Metro Surge,edm,focused,0.83,128,0.55,0.87,0.08,82,2020,clean,0.22,0.79,0.76
33,Motel Sign Memories,Retro Pines,synthwave,nostalgic,0.66,106,0.52,0.71,0.24,73,1980,nostalgic,0.44,0.66,0.43
34,Fireside Pages,Hollow Oak,acoustic,chill,0.35,72,0.67,0.50,0.92,57,2000,warm,0.82,0.45,0.49
35,Open Road Voltage,Steel Bloom,rock,intense,0.90,148,0.49,0.67,0.11,80,2010,aggressive,0.17,0.87,0.71
36,Blueprint Silence,North Desk,ambient,focused,0.26,56,0.58,0.38,0.96,38,1990,minimal,0.99,0.07,0.24
37,Blue Sky Rehearsal,Daylight Club,indie pop,happy,0.77,121,0.84,0.80,0.30,86,2010,bright,0.19,0.90,0.80
38,Monsoon Notebook,Cloud Quarter,lofi,moody,0.43,86,0.42,0.56,0.83,55,2010,dreamy,0.87,0.23,0.37
39,Night Arcade Sprint,Turbo Bloom,synthwave,intense,0.88,134,0.62,0.85,0.12,83,2020,euphoric,0.13,0.91,0.82
40,Porchlight Goodnight,Amber Vale,jazz,relaxed,0.31,78,0.70,0.47,0.90,62,1990,warm,0.75,0.52,0.48
